Name of Program,Weeks Duration,Hours,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,URL,JSON,SMORG,
A+ NETWORK+ AND MICROSOFT CERTIFICATION PREPARATION,38,950,Yes,Yes,Diploma,"$8,510",Yes,IT,A+ NETWORK+ AND MICROSOFT CERTIFICATION PREPARATION,a_network_and_microsoft_certification_preparation,a_network_and_microsoft_certification_preparation_programdata.json,a_network_and_microsoft_certification_preparation_diploma.pdf,
ACCOUNTING ADMINISTRATOR DIPLOMA with SAGE,40,1000,Yes,Yes,Diploma,"$11,559",Yes,Accounting,ACCOUNTING ADMINISTRATOR with SAGE,accounting_administrator_with_sage,accounting_administrator_with_sage_programdata.json,accounting_administrator_with_sage_diploma.pdf,
ACCOUNTING AND BUSINESS TECHNOLOGY DIPLOMA,45,1125,Yes,Yes,Diploma,"$12,729",Yes,Accounting,ACCOUNTING AND BUSINESS TECHNOLOGY,accounting_and_business_technology,accounting_and_business_technology_programdata.json,accounting_and_business_technology_diploma.pdf,
ACCOUNTING AND PAYROLL ADMINISTRATOR DIPLOMA,55,1375,Yes,Yes,Diploma,"$15,180",Yes,Accounting,ACCOUNTING AND PAYROLL ADMINISTRATOR,accounting_and_payroll_administrator,accounting_and_payroll_administrator_programdata.json,accounting_and_payroll_administrator_diploma.pdf,
ACCOUNTING BOOKKEEPER CERTIFICATE,33,825,Yes,Yes,Certificate,"$8,707",Yes,Accounting,ACCOUNTING BOOKKEEPER,accounting_bookkeeper,accounting_bookkeeper_programdata.json,accounting_bookkeeper_certificate.pdf,
ACCOUNTING CLERK CERTIFICATE,23,575,Yes,Yes,Certificate,"$6,452",Yes,Accounting,ACCOUNTING CLERK,accounting_clerk,accounting_clerk_programdata.json,accounting_clerk_certificate.pdf,
ADDICTIONS WORKER CERTIFICATE,15,375,Yes,No,Certificate,"$3,079",Yes,Community Support Services,ADDICTIONS WORKER,addictions_worker,addictions_worker_programdata.json,addictions_worker_certificate.pdf,
ADMINISTRATIVE ASSISTANT DIPLOMA,39,975,Yes,Yes,Diploma,"$10,097",Yes,Business,ADMINISTRATIVE ASSISTANT,administrative_assistant,administrative_assistant_programdata.json,administrative_assistant_diploma.pdf,
BUSINESS ADMINISTRATION CO-OP DIPLOMA,8,200,Yes,Yes,Diploma,$657,Yes,Business,BUSINESS ADMINISTRATION CO-OP,business_administration_coop,business_administration_coop_programdata.json,business_administration_coop_diploma.pdf,
BUSINESS ADMINISTRATION DIPLOMA,7,175,Yes,Yes,Diploma,$499,Yes,Business,BUSINESS ADMINISTRATION,business_administration,business_administration_programdata.json,business_administration_diploma.pdf,
BUSINESS MANAGEMENT CERTIFICATE,31,775,Yes,Yes,Certificate,"$9,329",Yes,Business,BUSINESS MANAGEMENT,business_management,business_management_programdata.json,business_management_certificate.pdf,
BUSINESS OFFICE SKILLS DIPLOMA,43,1075,Yes,Yes,Diploma,"$11,409",Yes,Business,BUSINESS OFFICE SKILLS,business_office_skills,business_office_skills_programdata.json,business_office_skills_diploma.pdf,
BUSINESS RECEPTIONIST CERTIFICATE,28,700,Yes,Yes,Certificate,"$7,135",Yes,Business,BUSINESS RECEPTIONIST,business_receptionist,business_receptionist_programdata.json,business_receptionist_certificate.pdf,
BUSINESS SERVICE ESSENTIALS CO-OP DIPLOMA,54,1350,Yes,Yes,Diploma,"$10,752",Yes,Business,BUSINESS SERVICE ESSENTIALS CO-OP,business_service_essentials_coop,business_service_essentials_coop_programdata.json,business_service_essentials_coop_diploma.pdf,
